# File with transport data and reaction rates for an air chemistry.
# Transport data calculated using the offline BOLSIG+ solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(^2D) + NO -> N2O have actually three-body nature

reaction_list
------------------
# Rotational excitation
e + N2 -> e + N2*(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2*(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2*(v1),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v1),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v2),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2*(v3),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2*(v4),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2*(v5),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2*(v6),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2*(v7),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2*(v8),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2*(v1),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v1),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v2),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v2),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v3),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2*(v4),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2*(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2*(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2*(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2*(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2*(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2*(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2*(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2*(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2*(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2*(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2*(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2*(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2*(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2*(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2*(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(^4S) + N(^2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(^3P) + O(^3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(^3P) + O(^1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(^3P) + O(^1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(^3P),field_table,C28 O2 Attachment
2.459000000000000075e-02 4.340000000000000108e-02
2.517000000000000140e-02 4.358999999999999680e-02
2.574999999999999858e-02 4.377999999999999947e-02
2.634999999999999842e-02 4.399000000000000132e-02
2.697000000000000092e-02 4.420000000000000318e-02
2.759999999999999953e-02 4.442999999999999727e-02
2.824000000000000121e-02 4.465999999999999831e-02
2.889999999999999861e-02 4.490000000000000241e-02
2.957999999999999866e-02 4.515000000000000263e-02
3.026999999999999830e-02 4.540999999999999898e-02
3.097000000000000100e-02 4.567999999999999838e-02
3.169999999999999901e-02 4.596000000000000085e-02
3.243999999999999662e-02 4.626000000000000251e-02
3.318999999999999728e-02 4.655999999999999722e-02
3.397000000000000020e-02 4.687999999999999806e-02
3.475999999999999923e-02 4.721000000000000196e-02
3.556999999999999745e-02 4.755000000000000199e-02
3.640000000000000180e-02 4.789999999999999813e-02
3.724999999999999839e-02 4.827000000000000041e-02
3.812000000000000111e-02 4.864999999999999880e-02
3.901000000000000301e-02 4.905000000000000332e-02
3.991999999999999715e-02 4.945999999999999702e-02
4.084999999999999742e-02 4.988999999999999685e-02
4.180999999999999994e-02 5.032999999999999974e-02
4.277999999999999858e-02 5.079000000000000181e-02
4.377999999999999947e-02 5.127000000000000307e-02
4.479999999999999954e-02 5.176000000000000045e-02
4.585000000000000187e-02 5.226999999999999702e-02
4.692000000000000337e-02 5.279999999999999971e-02
4.800999999999999712e-02 5.335000000000000159e-02
4.913000000000000006e-02 5.392000000000000265e-02
5.027999999999999831e-02 5.451000000000000290e-02
5.145000000000000268e-02 5.512000000000000233e-02
5.265999999999999848e-02 5.575000000000000094e-02
5.387999999999999734e-02 5.639999999999999875e-02
5.514000000000000151e-02 5.707999999999999879e-02
5.643000000000000099e-02 5.777000000000000191e-02
5.775000000000000272e-02 5.849000000000000032e-02
5.908999999999999669e-02 5.924000000000000099e-02
6.047000000000000292e-02 5.999999999999999778e-02
6.187999999999999751e-02 6.078999999999999682e-02
6.332999999999999741e-02 6.160999999999999810e-02
6.481000000000000649e-02 6.244999999999999857e-02
6.632000000000000395e-02 6.331000000000000516e-02
6.786999999999999977e-02 6.421000000000000318e-02
6.944999999999999785e-02 6.511999999999999733e-02
7.106999999999999429e-02 6.607000000000000373e-02
7.273000000000000298e-02 6.704000000000000237e-02
7.442999999999999616e-02 6.802999999999999325e-02
7.617000000000000159e-02 6.905000000000000027e-02
7.793999999999999539e-02 7.009999999999999565e-02
7.975999999999999757e-02 7.117999999999999328e-02
8.162999999999999423e-02 7.227999999999999703e-02
8.352999999999999314e-02 7.340000000000000691e-02
8.548000000000000043e-02 7.455000000000000515e-02
8.747000000000000608e-02 7.573000000000000564e-02
8.952000000000000235e-02 7.692999999999999838e-02
9.160999999999999699e-02 7.815999999999999337e-02
9.374000000000000388e-02 7.939999999999999836e-02
9.593000000000000138e-02 8.068000000000000171e-02
9.816999999999999338e-02 8.197000000000000119e-02
1.005000000000000060e-01 8.328000000000000680e-02
1.028000000000000025e-01 8.461000000000000465e-02
1.052000000000000018e-01 8.595999999999999475e-02
1.077000000000000041e-01 8.733000000000000485e-02
1.102000000000000063e-01 8.870999999999999719e-02
1.126999999999999946e-01 9.010999999999999566e-02
1.154000000000000026e-01 9.152000000000000413e-02
1.180999999999999966e-01 9.293999999999999484e-02
1.208000000000000046e-01 9.436999999999999555e-02
1.236000000000000015e-01 9.581000000000000627e-02
1.265000000000000013e-01 9.725000000000000311e-02
1.295000000000000040e-01 9.869999999999999607e-02
1.325000000000000067e-01 1.001999999999999974e-01
1.355999999999999983e-01 1.015999999999999959e-01
1.388000000000000067e-01 1.030999999999999972e-01
1.419999999999999873e-01 1.044999999999999957e-01
1.453000000000000125e-01 1.059999999999999970e-01
1.486999999999999988e-01 1.073999999999999955e-01
1.522000000000000020e-01 1.088999999999999968e-01
1.557000000000000051e-01 1.102999999999999953e-01
1.593999999999999861e-01 1.116999999999999937e-01
1.630999999999999950e-01 1.131000000000000061e-01
1.668999999999999928e-01 1.145000000000000046e-01
1.708000000000000074e-01 1.159000000000000030e-01
1.748000000000000109e-01 1.173000000000000015e-01
1.789000000000000035e-01 1.187000000000000000e-01
1.829999999999999960e-01 1.200999999999999984e-01
1.872999999999999943e-01 1.213999999999999940e-01
1.917000000000000093e-01 1.228000000000000064e-01
1.960999999999999965e-01 1.241000000000000020e-01
2.006999999999999895e-01 1.254000000000000115e-01
2.053999999999999992e-01 1.267000000000000071e-01
2.101999999999999980e-01 1.280000000000000027e-01
2.151000000000000134e-01 1.292999999999999983e-01
2.200999999999999901e-01 1.305999999999999939e-01
2.253000000000000003e-01 1.318999999999999895e-01
2.305000000000000104e-01 1.330999999999999961e-01
2.358999999999999986e-01 1.343999999999999917e-01
2.414000000000000035e-01 1.355999999999999983e-01
2.470999999999999863e-01 1.368999999999999939e-01
2.528000000000000247e-01 1.381000000000000005e-01
2.586999999999999855e-01 1.393000000000000071e-01
2.647999999999999798e-01 1.405000000000000138e-01
2.708999999999999742e-01 1.418000000000000094e-01
2.772999999999999909e-01 1.429999999999999882e-01
2.837000000000000077e-01 1.441999999999999948e-01
2.903999999999999915e-01 1.454000000000000015e-01
2.970999999999999752e-01 1.466999999999999971e-01
3.040999999999999814e-01 1.479000000000000037e-01
3.111999999999999766e-01 1.491000000000000103e-01
3.184000000000000163e-01 1.502999999999999892e-01
3.259000000000000230e-01 1.516000000000000125e-01
3.335000000000000187e-01 1.527999999999999914e-01
3.412000000000000033e-01 1.540999999999999870e-01
3.492000000000000104e-01 1.552999999999999936e-01
3.573999999999999955e-01 1.565999999999999892e-01
3.657000000000000250e-01 1.579000000000000126e-01
3.741999999999999771e-01 1.592000000000000082e-01
3.830000000000000071e-01 1.605000000000000038e-01
3.919000000000000261e-01 1.617999999999999994e-01
4.011000000000000121e-01 1.630999999999999950e-01
4.103999999999999870e-01 1.643999999999999906e-01
4.199999999999999845e-01 1.658000000000000029e-01
4.298000000000000154e-01 1.671999999999999875e-01
4.398000000000000242e-01 1.685999999999999999e-01
4.501000000000000001e-01 1.700000000000000122e-01
4.606000000000000094e-01 1.713999999999999968e-01
4.713999999999999857e-01 1.728000000000000091e-01
4.823999999999999955e-01 1.743000000000000105e-01
4.935999999999999832e-01 1.758000000000000118e-01
5.050999999999999934e-01 1.771999999999999964e-01
5.169000000000000261e-01 1.787999999999999867e-01
5.290000000000000258e-01 1.802999999999999881e-01
5.413000000000000034e-01 1.819000000000000061e-01
5.540000000000000480e-01 1.834999999999999964e-01
5.668999999999999595e-01 1.850999999999999868e-01
5.800999999999999490e-01 1.867000000000000048e-01
5.937000000000000055e-01 1.884000000000000119e-01
6.075000000000000400e-01 1.900000000000000022e-01
6.217000000000000304e-01 1.917000000000000093e-01
6.361999999999999877e-01 1.935000000000000053e-01
6.511000000000000121e-01 1.952000000000000124e-01
6.663000000000000034e-01 1.970000000000000084e-01
6.817999999999999616e-01 1.988999999999999935e-01
6.976999999999999869e-01 2.006999999999999895e-01
7.139999999999999680e-01 2.026000000000000023e-01
7.307000000000000162e-01 2.044999999999999873e-01
7.477000000000000313e-01 2.064999999999999891e-01
7.651999999999999913e-01 2.084999999999999909e-01
7.830000000000000293e-01 2.104999999999999927e-01
8.013000000000000123e-01 2.126000000000000112e-01
8.199999999999999512e-01 2.147000000000000020e-01
8.391999999999999460e-01 2.169000000000000095e-01
8.588000000000000078e-01 2.190999999999999892e-01
8.788000000000000256e-01 2.212999999999999967e-01
8.992999999999999883e-01 2.235999999999999932e-01
9.203000000000000069e-01 2.258999999999999897e-01
9.417999999999999705e-01 2.283999999999999919e-01
9.637999999999999901e-01 2.308000000000000052e-01
9.862999999999999545e-01 2.333000000000000074e-01
1.008999999999999897e+00 2.358999999999999986e-01
1.032999999999999918e+00 2.386000000000000065e-01
1.056999999999999940e+00 2.412999999999999867e-01
1.082000000000000073e+00 2.441000000000000114e-01
1.106999999999999984e+00 2.469000000000000083e-01
1.133000000000000007e+00 2.499000000000000110e-01
1.159000000000000030e+00 2.529000000000000137e-01
1.185999999999999943e+00 2.560000000000000053e-01
1.213999999999999968e+00 2.592999999999999750e-01
1.241999999999999993e+00 2.626000000000000001e-01
1.270999999999999908e+00 2.660000000000000142e-01
1.300999999999999934e+00 2.695000000000000173e-01
1.330999999999999961e+00 2.731999999999999984e-01
1.362000000000000099e+00 2.770000000000000240e-01
1.393999999999999906e+00 2.808999999999999830e-01
1.427000000000000046e+00 2.849999999999999756e-01
1.459999999999999964e+00 2.892000000000000126e-01
1.493999999999999995e+00 2.934999999999999831e-01
1.528999999999999915e+00 2.979999999999999871e-01
1.564999999999999947e+00 3.027000000000000246e-01
1.600999999999999979e+00 3.074999999999999956e-01
1.637999999999999901e+00 3.125999999999999890e-01
1.677000000000000046e+00 3.178000000000000269e-01
1.715999999999999970e+00 3.231999999999999873e-01
1.756000000000000005e+00 3.287999999999999812e-01
1.796999999999999931e+00 3.346000000000000085e-01
1.838999999999999968e+00 3.407000000000000028e-01
1.881999999999999895e+00 3.468999999999999861e-01
1.925999999999999934e+00 3.533000000000000029e-01
1.971000000000000085e+00 3.599999999999999867e-01
2.016999999999999904e+00 3.669000000000000039e-01
2.064000000000000057e+00 3.739999999999999991e-01
2.112000000000000099e+00 3.812999999999999723e-01
2.161000000000000032e+00 3.889000000000000234e-01
2.212000000000000188e+00 3.966999999999999971e-01
2.262999999999999901e+00 4.047000000000000042e-01
2.315999999999999837e+00 4.128999999999999893e-01
2.370000000000000107e+00 4.213999999999999968e-01
2.424999999999999822e+00 4.299999999999999933e-01
2.482000000000000206e+00 4.389000000000000123e-01
2.540000000000000036e+00 4.479000000000000203e-01
2.599000000000000199e+00 4.571000000000000063e-01
2.660000000000000142e+00 4.665000000000000258e-01
2.721999999999999975e+00 4.759999999999999787e-01
2.785000000000000142e+00 4.857000000000000206e-01
2.850000000000000089e+00 4.955999999999999850e-01
2.916999999999999815e+00 5.054999999999999494e-01
2.984999999999999876e+00 5.155999999999999472e-01
3.055000000000000160e+00 5.256999999999999451e-01
3.125999999999999890e+00 5.360000000000000320e-01
3.198999999999999844e+00 5.463000000000000078e-01
3.274000000000000021e+00 5.565999999999999837e-01
3.350000000000000089e+00 5.669999999999999485e-01
3.427999999999999936e+00 5.774000000000000243e-01
3.508000000000000007e+00 5.877999999999999892e-01
3.589999999999999858e+00 5.981999999999999540e-01
3.673999999999999932e+00 6.086000000000000298e-01
3.759999999999999787e+00 6.189999999999999947e-01
3.846999999999999975e+00 6.292999999999999705e-01
3.936999999999999833e+00 6.394999999999999574e-01
4.028999999999999915e+00 6.497000000000000552e-01
4.123000000000000220e+00 6.598000000000000531e-01
4.219000000000000306e+00 6.697999999999999510e-01
4.317999999999999616e+00 6.796999999999999709e-01
4.418999999999999595e+00 6.895000000000000018e-01
4.522000000000000242e+00 6.992000000000000437e-01
4.626999999999999780e+00 7.086999999999999966e-01
4.735000000000000320e+00 7.180999999999999606e-01
4.846000000000000085e+00 7.275000000000000355e-01
4.958999999999999631e+00 7.366000000000000325e-01
5.075000000000000178e+00 7.456000000000000405e-01
5.192999999999999616e+00 7.543999999999999595e-01
5.314000000000000057e+00 7.631000000000000005e-01
5.437999999999999723e+00 7.715999999999999526e-01
5.565000000000000391e+00 7.800000000000000266e-01
5.695000000000000284e+00 7.882000000000000117e-01
5.828000000000000291e+00 7.963000000000000078e-01
5.964000000000000412e+00 8.041000000000000369e-01
6.102999999999999758e+00 8.117999999999999661e-01
6.246000000000000441e+00 8.194000000000000172e-01
6.392000000000000348e+00 8.267999999999999794e-01
6.541000000000000369e+00 8.339999999999999636e-01
6.692999999999999616e+00 8.410999999999999588e-01
6.849999999999999645e+00 8.479999999999999760e-01
7.009999999999999787e+00 8.547000000000000153e-01
7.173000000000000043e+00 8.612999999999999545e-01
7.341000000000000192e+00 8.677000000000000268e-01
7.511999999999999567e+00 8.739999999999999991e-01
7.687000000000000277e+00 8.800999999999999934e-01
7.866999999999999993e+00 8.860999999999999988e-01
8.050000000000000711e+00 8.919000000000000261e-01
8.237999999999999545e+00 8.975999999999999535e-01
8.429999999999999716e+00 9.032000000000000028e-01
8.627000000000000668e+00 9.085999999999999632e-01
8.829000000000000625e+00 9.139000000000000457e-01
9.035000000000000142e+00 9.190000000000000391e-01
9.246000000000000441e+00 9.240000000000000435e-01
9.461000000000000298e+00 9.288999999999999480e-01
9.682000000000000384e+00 9.336999999999999744e-01
9.907999999999999474e+00 9.384000000000000119e-01
1.014000000000000057e+01 9.428999999999999604e-01
1.038000000000000078e+01 9.473000000000000309e-01
1.061999999999999922e+01 9.516999999999999904e-01
1.086999999999999922e+01 9.558999999999999719e-01
1.111999999999999922e+01 9.599999999999999645e-01
1.138000000000000078e+01 9.639999999999999680e-01
1.164000000000000057e+01 9.678999999999999826e-01
1.191999999999999993e+01 9.717000000000000082e-01
1.218999999999999950e+01 9.755000000000000338e-01
1.248000000000000043e+01 9.790999999999999703e-01
1.276999999999999957e+01 9.827000000000000179e-01
1.307000000000000028e+01 9.860999999999999766e-01
1.336999999999999922e+01 9.895000000000000462e-01
1.368999999999999950e+01 9.929000000000000048e-01
1.400999999999999979e+01 9.960999999999999854e-01
1.433000000000000007e+01 9.992999999999999661e-01
1.466999999999999993e+01 1.002000000000000002e+00
1.500999999999999979e+01 1.004999999999999893e+00
1.535999999999999943e+01 1.008000000000000007e+00
1.572000000000000064e+01 1.010999999999999899e+00
1.607999999999999829e+01 1.014000000000000012e+00
1.646000000000000085e+01 1.016999999999999904e+00
1.683999999999999986e+01 1.020000000000000018e+00
1.723999999999999844e+01 1.022999999999999909e+00
1.764000000000000057e+01 1.024999999999999911e+00
1.805000000000000071e+01 1.028000000000000025e+00
1.846999999999999886e+01 1.030999999999999917e+00
1.889999999999999858e+01 1.032999999999999918e+00
1.935000000000000142e+01 1.036000000000000032e+00
1.980000000000000071e+01 1.038000000000000034e+00
2.026000000000000156e+01 1.040999999999999925e+00
2.073000000000000043e+01 1.042999999999999927e+00
2.121999999999999886e+01 1.046000000000000041e+00
2.171000000000000085e+01 1.048000000000000043e+00
2.221999999999999886e+01 1.050999999999999934e+00
2.273999999999999844e+01 1.052999999999999936e+00
2.326999999999999957e+01 1.056000000000000050e+00
2.380999999999999872e+01 1.058000000000000052e+00
2.437000000000000099e+01 1.060999999999999943e+00
2.492999999999999972e+01 1.062999999999999945e+00
2.551999999999999957e+01 1.066000000000000059e+00
2.610999999999999943e+01 1.068000000000000060e+00
2.671999999999999886e+01 1.070999999999999952e+00
2.733999999999999986e+01 1.074000000000000066e+00
2.798000000000000043e+01 1.076000000000000068e+00
2.864000000000000057e+01 1.078999999999999959e+00
2.930000000000000071e+01 1.082000000000000073e+00
2.998999999999999844e+01 1.084999999999999964e+00
3.069000000000000128e+01 1.088000000000000078e+00
3.139999999999999858e+01 1.090999999999999970e+00
3.214000000000000057e+01 1.094000000000000083e+00
3.289000000000000057e+01 1.098000000000000087e+00
3.365999999999999659e+01 1.100999999999999979e+00
3.443999999999999773e+01 1.104999999999999982e+00
3.524000000000000199e+01 1.108999999999999986e+00
3.607000000000000028e+01 1.112999999999999989e+00
3.690999999999999659e+01 1.118000000000000105e+00
3.777000000000000313e+01 1.122999999999999998e+00
3.864999999999999858e+01 1.127999999999999892e+00
3.954999999999999716e+01 1.133999999999999897e+00
4.047999999999999687e+01 1.139999999999999902e+00
4.142000000000000171e+01 1.147000000000000020e+00
4.239000000000000057e+01 1.155000000000000027e+00
4.338000000000000256e+01 1.163000000000000034e+00
4.439000000000000057e+01 1.171999999999999931e+00
4.542999999999999972e+01 1.181999999999999940e+00
4.649000000000000199e+01 1.193000000000000060e+00
4.757000000000000028e+01 1.205000000000000071e+00
4.867999999999999972e+01 1.217999999999999972e+00
4.982000000000000028e+01 1.231999999999999984e+00
5.097999999999999687e+01 1.247000000000000108e+00
5.217000000000000171e+01 1.264000000000000012e+00
5.339000000000000057e+01 1.282999999999999918e+00
5.464000000000000057e+01 1.302999999999999936e+00
5.590999999999999659e+01 1.324999999999999956e+00
5.721999999999999886e+01 1.348999999999999977e+00
5.854999999999999716e+01 1.374000000000000110e+00
5.992000000000000171e+01 1.401999999999999913e+00
6.132000000000000028e+01 1.431999999999999940e+00
6.275000000000000000e+01 1.463999999999999968e+00
6.420999999999999375e+01 1.499000000000000110e+00
6.570999999999999375e+01 1.536000000000000032e+00
6.723999999999999488e+01 1.574999999999999956e+00
6.881000000000000227e+01 1.616999999999999993e+00
7.042000000000000171e+01 1.661999999999999922e+00
7.206000000000000227e+01 1.709000000000000075e+00
7.375000000000000000e+01 1.758000000000000007e+00
7.546999999999999886e+01 1.810999999999999943e+00
7.723000000000000398e+01 1.866000000000000103e+00
7.903000000000000114e+01 1.923000000000000043e+00
8.087999999999999545e+01 1.983999999999999986e+00
8.276000000000000512e+01 2.045999999999999819e+00
8.468999999999999773e+01 2.111000000000000210e+00
8.667000000000000171e+01 2.178999999999999826e+00
8.868999999999999773e+01 2.249000000000000110e+00
9.076000000000000512e+01 2.321000000000000174e+00
9.287999999999999545e+01 2.394000000000000128e+00
9.504999999999999716e+01 2.470000000000000195e+00
9.726999999999999602e+01 2.548000000000000043e+00
9.954000000000000625e+01 2.628000000000000114e+00
1.019000000000000057e+02 2.709999999999999964e+00
1.042000000000000028e+02 2.791999999999999815e+00
1.067000000000000028e+02 2.875999999999999890e+00
1.092000000000000028e+02 2.960999999999999854e+00
1.117000000000000028e+02 3.047000000000000153e+00
1.142999999999999972e+02 3.133999999999999897e+00
1.170000000000000000e+02 3.221000000000000085e+00
1.197000000000000028e+02 3.310000000000000053e+00
1.225000000000000000e+02 3.399000000000000021e+00
1.254000000000000057e+02 3.488999999999999879e+00
1.283000000000000114e+02 3.579000000000000181e+00
1.313000000000000114e+02 3.669000000000000039e+00
1.344000000000000057e+02 3.759999999999999787e+00
1.375000000000000000e+02 3.850999999999999979e+00
1.406999999999999886e+02 3.942000000000000171e+00
1.440000000000000000e+02 4.033000000000000362e+00
1.473000000000000114e+02 4.125000000000000000e+00
1.508000000000000114e+02 4.216999999999999638e+00
1.543000000000000114e+02 4.307999999999999829e+00
1.579000000000000057e+02 4.400000000000000355e+00
1.615999999999999943e+02 4.491999999999999993e+00
1.654000000000000057e+02 4.583999999999999631e+00
1.691999999999999886e+02 4.676000000000000156e+00
1.731999999999999886e+02 4.769000000000000128e+00
1.771999999999999886e+02 4.860999999999999766e+00
1.813000000000000114e+02 4.953000000000000291e+00
1.855999999999999943e+02 5.046000000000000263e+00
1.899000000000000057e+02 5.139000000000000234e+00
1.943000000000000114e+02 5.232000000000000206e+00
1.989000000000000057e+02 5.325000000000000178e+00
2.035000000000000000e+02 5.418999999999999595e+00
2.083000000000000114e+02 5.512999999999999901e+00
2.130999999999999943e+02 5.607999999999999652e+00
2.180999999999999943e+02 5.703000000000000291e+00
2.231999999999999886e+02 5.799000000000000377e+00
2.284000000000000057e+02 5.894999999999999574e+00
2.336999999999999886e+02 5.991999999999999993e+00
2.391999999999999886e+02 6.089999999999999858e+00
2.448000000000000114e+02 6.189000000000000057e+00
2.505000000000000000e+02 6.288999999999999702e+00
2.563000000000000114e+02 6.389000000000000234e+00
2.623000000000000114e+02 6.490999999999999659e+00
2.683999999999999773e+02 6.592999999999999972e+00
2.746999999999999886e+02 6.697000000000000064e+00
2.811000000000000227e+02 6.801999999999999602e+00
2.876999999999999886e+02 6.908000000000000362e+00
2.943999999999999773e+02 7.014999999999999680e+00
3.013000000000000114e+02 7.123999999999999666e+00
3.083000000000000114e+02 7.233999999999999986e+00
3.155000000000000000e+02 7.346000000000000085e+00
3.228999999999999773e+02 7.458999999999999631e+00
3.303999999999999773e+02 7.573999999999999844e+00
3.381000000000000227e+02 7.690999999999999837e+00
3.460000000000000000e+02 7.809000000000000163e+00
3.541000000000000227e+02 7.929999999999999716e+00
3.623000000000000114e+02 8.051999999999999602e+00
3.708000000000000114e+02 8.176999999999999602e+00
3.795000000000000000e+02 8.303000000000000824e+00
3.883000000000000114e+02 8.430999999999999162e+00
3.973999999999999773e+02 8.561999999999999389e+00
4.066000000000000227e+02 8.695000000000000284e+00
4.161000000000000227e+02 8.830000000000000071e+00
4.258999999999999773e+02 8.967999999999999972e+00
4.358000000000000114e+02 9.108000000000000540e+00
4.460000000000000000e+02 9.250999999999999446e+00
4.563999999999999773e+02 9.396000000000000796e+00
4.670000000000000000e+02 9.544000000000000483e+00
4.778999999999999773e+02 9.695000000000000284e+00
4.891000000000000227e+02 9.849000000000000199e+00
5.005000000000000000e+02 1.000999999999999979e+01
5.122000000000000455e+02 1.016999999999999993e+01
5.241000000000000227e+02 1.033000000000000007e+01
5.363999999999999773e+02 1.049000000000000021e+01
5.488999999999999773e+02 1.066000000000000014e+01
5.617000000000000455e+02 1.083999999999999986e+01
5.747999999999999545e+02 1.100999999999999979e+01
5.882000000000000455e+02 1.118999999999999950e+01
6.018999999999999773e+02 1.138000000000000078e+01
6.160000000000000000e+02 1.156000000000000050e+01
6.303999999999999773e+02 1.175000000000000000e+01
6.451000000000000227e+02 1.194999999999999929e+01
6.601000000000000227e+02 1.215000000000000036e+01
6.756000000000000227e+02 1.234999999999999964e+01
6.912999999999999545e+02 1.256000000000000050e+01
7.075000000000000000e+02 1.276999999999999957e+01
7.240000000000000000e+02 1.299000000000000021e+01
7.408999999999999773e+02 1.321000000000000085e+01
7.582000000000000455e+02 1.342999999999999972e+01
7.758999999999999773e+02 1.366000000000000014e+01
7.940000000000000000e+02 1.390000000000000036e+01
8.125000000000000000e+02 1.414000000000000057e+01
8.315000000000000000e+02 1.439000000000000057e+01
8.508999999999999773e+02 1.464000000000000057e+01
8.707000000000000455e+02 1.490000000000000036e+01
8.910000000000000000e+02 1.516000000000000014e+01
9.117999999999999545e+02 1.542999999999999972e+01
9.331000000000000227e+02 1.571000000000000085e+01
9.548999999999999773e+02 1.599000000000000021e+01
9.772000000000000455e+02 1.628000000000000114e+01
1.000000000000000000e+03 1.657000000000000028e+01
-----------------------


Mobility *N (1/m/V/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000021e-02 4.049000000000000312e+25
1.022999999999999951e-02 4.041999999999999828e+25
1.047000000000000014e-02 4.033999999999999643e+25
1.072000000000000036e-02 4.027000000000000019e+25
1.097000000000000058e-02 4.018999999999999834e+25
1.122000000000000081e-02 4.010999999999999650e+25
1.148000000000000062e-02 4.003000000000000324e+25
1.175000000000000003e-02 3.995000000000000140e+25
1.203000000000000076e-02 3.986000000000000254e+25
1.230999999999999976e-02 3.978000000000000070e+25
1.260000000000000009e-02 3.969000000000000184e+25
1.289000000000000042e-02 3.960000000000000299e+25
1.319000000000000034e-02 3.949999999999999853e+25
1.349999999999999985e-02 3.940999999999999968e+25
1.380999999999999936e-02 3.931000000000000381e+25
1.413999999999999979e-02 3.920999999999999936e+25
1.447000000000000022e-02 3.909999999999999789e+25
1.480000000000000066e-02 3.900000000000000203e+25
1.515000000000000027e-02 3.889000000000000057e+25
1.549999999999999989e-02 3.877999999999999910e+25
1.585999999999999910e-02 3.866000000000000063e+25
1.623000000000000137e-02 3.854999999999999917e+25
1.660999999999999976e-02 3.843000000000000069e+25
1.700000000000000122e-02 3.830000000000000091e+25
1.739999999999999880e-02 3.817999999999999815e+25
1.779999999999999985e-02 3.804999999999999837e+25
1.822000000000000008e-02 3.791999999999999859e+25
1.864000000000000032e-02 3.778000000000000180e+25
1.907999999999999974e-02 3.764000000000000072e+25
1.951999999999999916e-02 3.749999999999999964e+25
1.998000000000000123e-02 3.735000000000000155e+25
2.044999999999999943e-02 3.719999999999999916e+25
2.092000000000000109e-02 3.705000000000000107e+25
2.140999999999999848e-02 3.689000000000000167e+25
